RedFighter,BlueFighter,Date,Location,Country,Winner,TitleBout,WeightClass,WinnerNationality,Loser,LoserNationality
Robert Whittaker,Khamzat Chimaev,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Khamzat Chimaev,False,Middleweight,Other,Robert Whittaker,Australian
Junior Tafa,Sean Sharaf,2024-10-12,"Las Vegas, Nevada, USA",Usa,Junior Tafa,False,Heavyweight,Australian,Sean Sharaf,Other
Dan Argueta,Cody Haddon,2024-10-12,"Las Vegas, Nevada, USA",Usa,Cody Haddon,False,Bantamweight,Australian,Dan Argueta,Other
Kaan Ofli,Mairon Santos,2024-08-24,"Las Vegas, Nevada, USA",Usa,Mairon Santos,False,Featherweight,Other,Kaan Ofli,Australian
Kai Kara-France,Steve Erceg,2024-08-17,"Perth, Western Australia, Australia",Australia,Kai Kara-France,False,Flyweight,Other,Steve Erceg,Australian
Tai Tuivasa,Jairzinho Rozenstruik,2024-08-17,"Perth, Western Australia, Australia",Australia,Jairzinho Rozenstruik,False,Heavyweight,Other,Tai Tuivasa,Australian
Junior Tafa,Valter Walker,2024-08-17,"Perth, Western Australia, Australia",Australia,Valter Walker,False,Heavyweight,Other,Junior Tafa,Australian
Casey O'Neill,Luana Santos,2024-08-17,"Perth, Western Australia, Australia",Australia,Casey O'Neill,False,Women's Flyweight,Australian,Luana Santos,Other
Jack Jenkins,Herbert Burns,2024-08-17,"Perth, Western Australia, Australia",Australia,Jack Jenkins,False,Featherweight,Australian,Herbert Burns,Other
Tom Nolan,Alex Reyes,2024-08-17,"Perth, Western Australia, Australia",Australia,Tom Nolan,False,Lightweight,Australian,Alex Reyes,Other
Robert Whittaker,Ikram Aliskerov,2024-06-22,"Riyadh, Riyadh, Saudi Arabia",Saudi Arabia,Robert Whittaker,False,Middleweight,Australian,Ikram Aliskerov,Other
Phil Rowe,Jake Matthews,2024-06-01,"Newark, New Jersey, USA",Usa,Jake Matthews,False,Welterweight,Australian,Phil Rowe,Other
Victor Martinez,Tom Nolan,2024-05-18,"Las Vegas, Nevada, USA",Usa,Tom Nolan,False,Lightweight,Australian,Victor Martinez,Other
Alexandre Pantoja,Steve Erceg,2024-05-04,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Alexandre Pantoja,True,Flyweight,Other,Steve Erceg,Australian
Mauricio Ruffy,Jamie Mullarkey,2024-05-04,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Mauricio Ruffy,False,Lightweight,Other,Jamie Mullarkey,Australian
Andre Petroski,Jacob Malkoun,2024-03-30,"Atlantic City, New Jersey, USA",Usa,Jacob Malkoun,False,Middleweight,Australian,Andre Petroski,Other
Karl Williams,Justin Tafa,2024-03-23,"Las Vegas, Nevada, USA",Usa,Karl Williams,False,Heavyweight,Other,Justin Tafa,Australian
Tai Tuivasa,Marcin Tybura,2024-03-16,"Las Vegas, Nevada, USA",Usa,Marcin Tybura,False,Heavyweight,Other,Tai Tuivasa,Australian
Gilbert Burns,Jack Della Maddalena,2024-03-09,"Miami, Florida, USA",Usa,Jack Della Maddalena,False,Welterweight,Australian,Gilbert Burns,Other
Vitor Petrino,Tyson Pedro,2024-03-02,"Las Vegas, Nevada, USA",Usa,Vitor Petrino,False,Light Heavyweight,Other,Tyson Pedro,Australian
Matt Schnell,Steve Erceg,2024-03-02,"Las Vegas, Nevada, USA",Usa,Steve Erceg,False,Flyweight,Australian,Matt Schnell,Other
Alexander Volkanovski,Ilia Topuria,2024-02-17,"Anaheim, California, USA",Usa,Ilia Topuria,True,Featherweight,Other,Alexander Volkanovski,Australian
Robert Whittaker,Paulo Costa,2024-02-17,"Anaheim, California, USA",Usa,Robert Whittaker,False,Middleweight,Australian,Paulo Costa,Other
Marcos Rogerio de Lima,Junior Tafa,2024-02-17,"Anaheim, California, USA",Usa,Marcos Rogerio de Lima,False,Heavyweight,Other,Junior Tafa,Australian
Nikolas Motta,Tom Nolan,2024-01-13,"Las Vegas, Nevada, USA",Usa,Nikolas Motta,False,Lightweight,Other,Tom Nolan,Australian
Casey O'Neill,Ariane da Silva,2023-12-16,"Las Vegas, Nevada, USA",Usa,Ariane da Silva,False,Women's Flyweight,Other,Casey O'Neill,Australian
Nasrat Haqparast,Jamie Mullarkey,2023-12-09,"Las Vegas, Nevada, USA",Usa,Nasrat Haqparast,False,Lightweight,Other,Jamie Mullarkey,Australian
HyunSung Park,Shannon Ross,2023-12-09,"Las Vegas, Nevada, USA",Usa,HyunSung Park,False,Flyweight,Other,Shannon Ross,Australian
Michael Morales,Jake Matthews,2023-11-18,"Las Vegas, Nevada, USA",Usa,Michael Morales,False,Welterweight,Other,Jake Matthews,Australian
Steve Erceg,Alessandro Costa,2023-11-11,"New York City, New York, USA",Usa,Steve Erceg,False,Flyweight,Australian,Alessandro Costa,Other
Islam Makhachev,Alexander Volkanovski,2023-10-21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Islam Makhachev,True,Lightweight,Other,Alexander Volkanovski,Australian
Jacob Malkoun,Cody Brundage,2023-09-23,"Las Vegas, Nevada, USA",Usa,Cody Brundage,False,Middleweight,Other,Jacob Malkoun,Australian
Kevin Holland,Jack Della Maddalena,2023-09-16,"Las Vegas, Nevada, USA",Usa,Jack Della Maddalena,False,Welterweight,Australian,Kevin Holland,Other
Tai Tuivasa,Alexander Volkov,2023-09-09,"Sydney, New South Wales, Australia",Australia,Alexander Volkov,False,Heavyweight,Other,Tai Tuivasa,Australian
Justin Tafa,Austen Lane,2023-09-09,"Sydney, New South Wales, Australia",Australia,Justin Tafa,False,Heavyweight,Australian,Austen Lane,Other
Tyson Pedro,Anton Turkalj,2023-09-09,"Sydney, New South Wales, Australia",Australia,Tyson Pedro,False,Light Heavyweight,Australian,Anton Turkalj,Other
Jack Jenkins,Chepe Mariscal,2023-09-09,"Sydney, New South Wales, Australia",Australia,Chepe Mariscal,False,Featherweight,Other,Jack Jenkins,Australian
Jamie Mullarkey,John Makdessi,2023-09-09,"Sydney, New South Wales, Australia",Australia,Jamie Mullarkey,False,Lightweight,Australian,John Makdessi,Other
Junior Tafa,Parker Porter,2023-08-26,"Kallang, Singapore",Singapore,Junior Tafa,False,Heavyweight,Australian,Parker Porter,Other
Jake Matthews,Darrius Flowers,2023-07-29,"Salt Lake City, Utah, USA",Usa,Jake Matthews,False,Welterweight,Australian,Darrius Flowers,Other
Jack Della Maddalena,Bassil Hafez,2023-07-15,"Las Vegas, Nevada, USA",Usa,Jack Della Maddalena,False,Welterweight,Australian,Bassil Hafez,Other
Alexander Volkanovski,Yair Rodriguez,2023-07-08,"Las Vegas, Nevada, USA",Usa,Alexander Volkanovski,True,Featherweight,Australian,Yair Rodriguez,Other
Robert Whittaker,Dricus Du Plessis,2023-07-08,"Las Vegas, Nevada, USA",Usa,Dricus Du Plessis,False,Middleweight,Other,Robert Whittaker,Australian
Jimmy Crute,Alonzo Menifield,2023-07-08,"Las Vegas, Nevada, USA",Usa,Alonzo Menifield,False,Light Heavyweight,Other,Jimmy Crute,Australian
Shannon Ross,Jesus Aguilar,2023-07-08,"Las Vegas, Nevada, USA",Usa,Jesus Aguilar,False,Flyweight,Other,Shannon Ross,Australian
Jamall Emmers,Jack Jenkins,2023-06-24,"Jacksonville, Florida, USA",Usa,Jack Jenkins,False,Featherweight,Australian,Jamall Emmers,Other
David Dvorak,Steve Erceg,2023-06-10,"Vancouver, British Columbia, Canada",Canada,Steve Erceg,False,Flyweight,Australian,David Dvorak,Other
Jamie Mullarkey,Muhammad Naimov,2023-06-03,"Las Vegas, Nevada, USA",Usa,Muhammad Naimov,False,Lightweight,Other,Jamie Mullarkey,Australian
Jessica-Rose Clark,Tainara Lisboa,2023-05-13,"Charlotte, North Carolina, USA",Usa,Tainara Lisboa,False,Women's Bantamweight,Other,Jessica-Rose Clark,Australian
Mohammed Usman,Junior Tafa,2023-04-22,"Las Vegas, Nevada, USA",Usa,Mohammed Usman,False,Heavyweight,Other,Junior Tafa,Australian
Jennifer Maia,Casey O'Neill,2023-03-18,"London, England, United Kingdom",United Kingdom,Jennifer Maia,False,Women's Flyweight,Other,Casey O'Neill,Australian
Islam Makhachev,Alexander Volkanovski,2023-02-11,"Perth, Western Australia, Australia",Australia,Islam Makhachev,True,Lightweight,Other,Alexander Volkanovski,Australian
Jack Della Maddalena,Randy Brown,2023-02-11,"Perth, Western Australia, Australia",Australia,Jack Della Maddalena,False,Welterweight,Australian,Randy Brown,Other
Justin Tafa,Parker Porter,2023-02-11,"Perth, Western Australia, Australia",Australia,Justin Tafa,False,Heavyweight,Australian,Parker Porter,Other
Tyson Pedro,Modestas Bukauskas,2023-02-11,"Perth, Western Australia, Australia",Australia,Modestas Bukauskas,False,Light Heavyweight,Other,Tyson Pedro,Australian
Shannon Ross,Kleydson Rodrigues,2023-02-11,"Perth, Western Australia, Australia",Australia,Kleydson Rodrigues,False,Flyweight,Other,Shannon Ross,Australian
Jamie Mullarkey,Francisco Prado,2023-02-11,"Perth, Western Australia, Australia",Australia,Jamie Mullarkey,False,Lightweight,Australian,Francisco Prado,Other
Jack Jenkins,Don Shainis,2023-02-11,"Perth, Western Australia, Australia",Australia,Jack Jenkins,False,Featherweight,Australian,Don Shainis,Other
Jake Matthews,Matthew Semelsberger,2022-12-17,"Las Vegas, Nevada, USA",Usa,Matthew Semelsberger,False,Welterweight,Other,Jake Matthews,Australian
Tai Tuivasa,Sergei Pavlovich,2022-12-03,"Orlando, Florida, USA",Usa,Sergei Pavlovich,False,Heavyweight,Other,Tai Tuivasa,Australian
Jack Della Maddalena,Danny Roberts,2022-11-19,"Las Vegas, Nevada, USA",Usa,Jack Della Maddalena,False,Welterweight,Australian,Danny Roberts,Other
Nick Maximov,Jacob Malkoun,2022-10-15,"Las Vegas, Nevada, USA",Usa,Jacob Malkoun,False,Middleweight,Australian,Nick Maximov,Other
Ciryl Gane,Tai Tuivasa,2022-09-03,"Paris, Ile-de-France, France",France,Ciryl Gane,False,Heavyweight,Other,Tai Tuivasa,Australian
Robert Whittaker,Marvin Vettori,2022-09-03,"Paris, Ile-de-France, France",France,Robert Whittaker,False,Middleweight,Australian,Marvin Vettori,Other
Tyson Pedro,Harry Hunsucker,2022-08-20,"Salt Lake City, Utah, USA",Usa,Tyson Pedro,False,Light Heavyweight,Australian,Harry Hunsucker,Other
Michael Johnson,Jamie Mullarkey,2022-07-09,"Las Vegas, Nevada, USA",Usa,Jamie Mullarkey,False,Lightweight,Australian,Michael Johnson,Other
Alexander Volkanovski,Max Holloway,2022-07-02,"Las Vegas, Nevada, USA",Usa,Alexander Volkanovski,True,Featherweight,Australian,Max Holloway,Other
Jessica-Rose Clark,Julija Stoliarenko,2022-07-02,"Las Vegas, Nevada, USA",Usa,Julija Stoliarenko,False,Women's Bantamweight,Other,Jessica-Rose Clark,Australian
Andre Fialho,Jake Matthews,2022-06-11,"Kallang, Singapore",Singapore,Jake Matthews,False,Welterweight,Australian,Andre Fialho,Other
Jack Della Maddalena,Ramazan Emeev,2022-06-11,"Kallang, Singapore",Singapore,Jack Della Maddalena,False,Welterweight,Australian,Ramazan Emeev,Other
Brendan Allen,Jacob Malkoun,2022-06-11,"Kallang, Singapore",Singapore,Brendan Allen,False,Middleweight,Other,Jacob Malkoun,Australian
Tyson Pedro,Ike Villanueva,2022-04-23,"Las Vegas, Nevada, USA",Usa,Tyson Pedro,False,Light Heavyweight,Australian,Ike Villanueva,Other
Alexander Volkanovski,Chan Sung Jung,2022-04-09,"Jacksonville, Florida, USA",Usa,Alexander Volkanovski,True,Featherweight,Australian,Chan Sung Jung,Other
Jalin Turner,Jamie Mullarkey,2022-03-05,"Las Vegas, Nevada, USA",Usa,Jalin Turner,False,Lightweight,Other,Jamie Mullarkey,Australian
Jessica-Rose Clark,Stephanie Egger,2022-02-19,"Las Vegas, Nevada, USA",Usa,Stephanie Egger,False,Women's Bantamweight,Other,Jessica-Rose Clark,Australian
Israel Adesanya,Robert Whittaker,2022-02-12,"Houston, Texas, USA",Usa,Israel Adesanya,True,Middleweight,Other,Robert Whittaker,Australian
Derrick Lewis,Tai Tuivasa,2022-02-12,"Houston, Texas, USA",Usa,Tai Tuivasa,False,Heavyweight,Australian,Derrick Lewis,Other
Roxanne Modafferi,Casey O'Neill,2022-02-12,"Houston, Texas, USA",Usa,Casey O'Neill,False,Women's Flyweight,Australian,Roxanne Modafferi,Other
AJ Dobson,Jacob Malkoun,2022-02-12,"Houston, Texas, USA",Usa,Jacob Malkoun,False,Middleweight,Australian,AJ Dobson,Other
Jack Della Maddalena,Pete Rodriguez,2022-01-22,"Anaheim, California, USA",Usa,Jack Della Maddalena,False,Welterweight,Australian,Pete Rodriguez,Other
Justin Tafa,Harry Hunsucker,2021-12-18,"Las Vegas, Nevada, USA",Usa,Justin Tafa,False,Heavyweight,Australian,Harry Hunsucker,Other
Augusto Sakai,Tai Tuivasa,2021-12-11,"Las Vegas, Nevada, USA",Usa,Tai Tuivasa,False,Heavyweight,Australian,Augusto Sakai,Other
Jimmy Crute,Jamahal Hill,2021-12-04,"Las Vegas, Nevada, USA",Usa,Jamahal Hill,False,Light Heavyweight,Other,Jimmy Crute,Australian
Jessica-Rose Clark,Joselyne Edwards,2021-10-23,"Las Vegas, Nevada, USA",Usa,Jessica-Rose Clark,False,Women's Bantamweight,Australian,Joselyne Edwards,Other
Antonina Shevchenko,Casey O'Neill,2021-10-02,"Las Vegas, Nevada, USA",Usa,Casey O'Neill,False,Women's Flyweight,Australian,Antonina Shevchenko,Other
Devonte Smith,Jamie Mullarkey,2021-10-02,"Las Vegas, Nevada, USA",Usa,Jamie Mullarkey,False,Lightweight,Australian,Devonte Smith,Other
Alexander Volkanovski,Brian Ortega,2021-09-25,"Las Vegas, Nevada, USA",Usa,Alexander Volkanovski,True,Featherweight,Australian,Brian Ortega,Other
Tai Tuivasa,Greg Hardy,2021-07-10,"Las Vegas, Nevada, USA",Usa,Tai Tuivasa,False,Heavyweight,Australian,Greg Hardy,Other
Casey O'Neill,Lara Procopio,2021-06-19,"Las Vegas, Nevada, USA",Usa,Casey O'Neill,False,Women's Flyweight,Australian,Lara Procopio,Other
Justin Tafa,Jared Vanderaa,2021-05-22,"Las Vegas, Nevada, USA",Usa,Jared Vanderaa,False,Heavyweight,Other,Justin Tafa,Australian
Anthony Smith,Jimmy Crute,2021-04-24,"Jacksonville, Florida, USA",Usa,Anthony Smith,False,Light Heavyweight,Other,Jimmy Crute,Australian
Robert Whittaker,Kelvin Gastelum,2021-04-17,"Las Vegas, Nevada, USA",Usa,Robert Whittaker,False,Middleweight,Australian,Kelvin Gastelum,Other
Abdul Razak Alhassan,Jacob Malkoun,2021-04-17,"Las Vegas, Nevada, USA",Usa,Jacob Malkoun,False,Middleweight,Australian,Abdul Razak Alhassan,Other
Jamie Mullarkey,Khama Worthy,2021-03-27,"Las Vegas, Nevada, USA",Usa,Jamie Mullarkey,False,Lightweight,Australian,Khama Worthy,Other
Tai Tuivasa,Harry Hunsucker,2021-03-20,"Las Vegas, Nevada, USA",Usa,Tai Tuivasa,False,Heavyweight,Australian,Harry Hunsucker,Other
Sean Brady,Jake Matthews,2021-03-06,"Las Vegas, Nevada, USA",Usa,Sean Brady,False,Welterweight,Other,Jake Matthews,Australian
Shana Dobson,Casey O'Neill,2021-02-20,"Las Vegas, Nevada, USA",Usa,Casey O'Neill,False,Women's Flyweight,Australian,Shana Dobson,Other
Carlos Felipe,Justin Tafa,2021-01-16,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Carlos Felipe,False,Heavyweight,Other,Justin Tafa,Australian
Robert Whittaker,Jared Cannonier,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Robert Whittaker,False,Middleweight,Australian,Jared Cannonier,Other
Jacob Malkoun,Phillip Hawes,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Phillip Hawes,False,Middleweight,Other,Jacob Malkoun,Australian
Stefan Struve,Tai Tuivasa,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Tai Tuivasa,False,Heavyweight,Australian,Stefan Struve,Other
Jimmy Crute,Modestas Bukauskas,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Jimmy Crute,False,Light Heavyweight,Australian,Modestas Bukauskas,Other
Jamie Mullarkey,Fares Ziam,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Fares Ziam,False,Lightweight,Other,Jamie Mullarkey,Australian
Diego Sanchez,Jake Matthews,2020-09-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Jake Matthews,False,Welterweight,Australian,Diego Sanchez,Other
Jessica-Rose Clark,Sarah Alpar,2020-09-19,"Las Vegas, Nevada, USA",Usa,Jessica-Rose Clark,False,Women's Bantamweight,Australian,Sarah Alpar,Other
Robert Whittaker,Darren Till,2020-07-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Robert Whittaker,False,Middleweight,Australian,Darren Till,Other
Alexander Volkanovski,Max Holloway,2020-07-11,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Alexander Volkanovski,True,Featherweight,Australian,Max Holloway,Other
Ben Sosoli,Marcos Rogerio De Lima,2020-02-22,"Auckland, New Zealand",New Zealand,Marcos Rogerio De Lima,False,Heavyweight,Other,Ben Sosoli,Australian
Jalin Turner,Joshua Culibao,2020-02-22,"Auckland, New Zealand",New Zealand,Jalin Turner,False,Lightweight,Other,Joshua Culibao,Australian
Jake Matthews,Emil Meek,2020-02-22,"Auckland, New Zealand",New Zealand,Jake Matthews,False,Welterweight,Australian,Emil Meek,Other
Callan Potter,Song Kenan,2020-02-22,"Auckland, New Zealand",New Zealand,Song Kenan,False,Welterweight,Other,Callan Potter,Australian
Juan Adams,Justin Tafa,2020-02-08,"Houston, Texas, USA",Usa,Justin Tafa,False,Heavyweight,Australian,Juan Adams,Other
Seungwoo Choi,Suman Mokhtarian,2019-12-21,"Busan, South Korea",South Korea,Seungwoo Choi,False,Featherweight,Other,Suman Mokhtarian,Australian
Max Holloway,Alexander Volkanovski,2019-12-14,"Las Vegas, Nevada, USA",Usa,Alexander Volkanovski,True,Featherweight,Australian,Max Holloway,Other
Jessica-Rose Clark,Pannie Kianzad,2019-11-09,"Moscow, Moscow, Russia",Russia,Pannie Kianzad,False,Women's Bantamweight,Other,Jessica-Rose Clark,Australian
Robert Whittaker,Israel Adesanya,2019-10-05,"Melbourne, Victoria, Australia",Australia,Israel Adesanya,True,Middleweight,Other,Robert Whittaker,Australian
Tai Tuivasa,Serghei Spivac,2019-10-05,"Melbourne, Victoria, Australia",Australia,Serghei Spivac,False,Heavyweight,Other,Tai Tuivasa,Australian
Justin Tafa,Yorgan De Castro,2019-10-05,"Melbourne, Victoria, Australia",Australia,Yorgan De Castro,False,Heavyweight,Other,Justin Tafa,Australian
Jake Matthews,Rostem Akman,2019-10-05,"Melbourne, Victoria, Australia",Australia,Jake Matthews,False,Welterweight,Australian,Rostem Akman,Other
Callan Potter,Maki Pitolo,2019-10-05,"Melbourne, Victoria, Australia",Australia,Callan Potter,False,Welterweight,Australian,Maki Pitolo,Other
Brad Riddell,Jamie Mullarkey,2019-10-05,"Melbourne, Victoria, Australia",Australia,Brad Riddell,False,Lightweight,Other,Jamie Mullarkey,Australian
Nadia Kassem,Ji Yeon Kim,2019-10-05,"Melbourne, Victoria, Australia",Australia,Ji Yeon Kim,False,Women's Flyweight,Other,Nadia Kassem,Australian
Misha Cirkunov,Jimmy Crute,2019-09-14,"Vancouver, British Columbia, Canada",Canada,Misha Cirkunov,False,Light Heavyweight,Other,Jimmy Crute,Australian
Tai Tuivasa,Blagoy Ivanov,2019-06-08,"Chicago, Illinois, USA",Usa,Blagoy Ivanov,False,Heavyweight,Other,Tai Tuivasa,Australian
Jose Aldo,Alexander Volkanovski,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Alexander Volkanovski,False,Featherweight,Australian,Jose Aldo,Other
Montana De La Rosa,Nadia Kassem,2019-02-09,"Melbourne, Victoria, Australia",Australia,Montana De La Rosa,False,Women's Flyweight,Other,Nadia Kassem,Australian
Jimmy Crute,Sam Alvey,2019-02-09,"Melbourne, Victoria, Australia",Australia,Jimmy Crute,False,Light Heavyweight,Australian,Sam Alvey,Other
Callan Potter,Jalin Turner,2019-02-09,"Melbourne, Victoria, Australia",Australia,Jalin Turner,False,Lightweight,Other,Callan Potter,Australian
Chad Mendes,Alexander Volkanovski,2018-12-29,"Los Angeles, California, USA",Usa,Alexander Volkanovski,False,Featherweight,Australian,Chad Mendes,Other
Junior Dos Santos,Tai Tuivasa,2018-12-01,"Adelaide, South Australia, Australia",Australia,Junior Dos Santos,False,Heavyweight,Other,Tai Tuivasa,Australian
Mauricio Rua,Tyson Pedro,2018-12-01,"Adelaide, South Australia, Australia",Australia,Mauricio Rua,False,Light Heavyweight,Other,Tyson Pedro,Australian
Mark Hunt,Justin Willis,2018-12-01,"Adelaide, South Australia, Australia",Australia,Justin Willis,False,Heavyweight,Other,Mark Hunt,Australian
Jake Matthews,Anthony Rocco Martin,2018-12-01,"Adelaide, South Australia, Australia",Australia,Anthony Rocco Martin,False,Welterweight,Other,Jake Matthews,Australian
Suman Mokhtarian,Sodiq Yusuff,2018-12-01,"Adelaide, South Australia, Australia",Australia,Sodiq Yusuff,False,Featherweight,Other,Suman Mokhtarian,Australian
Jimmy Crute,Paul Craig,2018-12-01,"Adelaide, South Australia, Australia",Australia,Jimmy Crute,False,Light Heavyweight,Australian,Paul Craig,Other
Wilson Reis,Ben Nguyen,2018-12-01,"Adelaide, South Australia, Australia",Australia,Wilson Reis,False,Flyweight,Other,Ben Nguyen,Australian
Livinha Souza,Alex Chambers,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Brazil,Livinha Souza,False,Women's Strawweight,Other,Alex Chambers,Australian
Mark Hunt,Aleksei Oleinik,2018-09-15,"Moscow, Moscow, Russia",Russia,Aleksei Oleinik,False,Heavyweight,Other,Mark Hunt,Australian
Darren Elkins,Alexander Volkanovski,2018-07-14,"Boise, Idaho, USA",Usa,Alexander Volkanovski,False,Featherweight,Australian,Darren Elkins,Other
Ovince Saint Preux,Tyson Pedro,2018-06-23,"Kallang, Singapore",Singapore,Ovince Saint Preux,False,Light Heavyweight,Other,Tyson Pedro,Australian
Jessica-Rose Clark,Jessica Eye,2018-06-23,"Kallang, Singapore",Singapore,Jessica Eye,False,Women's Flyweight,Other,Jessica-Rose Clark,Australian
Shinsho Anzai,Jake Matthews,2018-06-23,"Kallang, Singapore",Singapore,Jake Matthews,False,Welterweight,Australian,Shinsho Anzai,Other
Robert Whittaker,Yoel Romero,2018-06-09,"Chicago, Illinois, USA",Usa,Robert Whittaker,False,Middleweight,Australian,Yoel Romero,Other
Andrei Arlovski,Tai Tuivasa,2018-06-09,"Chicago, Illinois, USA",Usa,Tai Tuivasa,False,Heavyweight,Australian,Andrei Arlovski,Other
Daniel Kelly,Tom Breese,2018-05-27,"Liverpool, England, United Kingdom",United Kingdom,Tom Breese,False,Middleweight,Other,Daniel Kelly,Australian
Bec Rawlings,Ashlee Evans-Smith,2018-04-07,"Brooklyn, New York, USA",Usa,Ashlee Evans-Smith,False,Women's Flyweight,Other,Bec Rawlings,Australian
Mark Hunt,Curtis Blaydes,2018-02-10,"Perth, Western Australia, Australia",Australia,Curtis Blaydes,False,Heavyweight,Other,Mark Hunt,Australian
Tai Tuivasa,Cyril Asker,2018-02-10,"Perth, Western Australia, Australia",Australia,Tai Tuivasa,False,Heavyweight,Australian,Cyril Asker,Other
Jake Matthews,Li Jingliang,2018-02-10,"Perth, Western Australia, Australia",Australia,Jake Matthews,False,Welterweight,Australian,Li Jingliang,Other
Tyson Pedro,Saparbeg Safarov,2018-02-10,"Perth, Western Australia, Australia",Australia,Tyson Pedro,False,Light Heavyweight,Australian,Saparbeg Safarov,Other
